Date/Time,Electricity:Facility [kW](Hourly),Fans:Electricity [kW](Hourly),Cooling:Electricity [kW](Hourly),Heating:Electricity [kW](Hourly),InteriorLights:Electricity [kW](Hourly),InteriorEquipment:Electricity [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Gas [kW](Hourly),InteriorEquipment:Gas [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly)
 10/23  06:00:00,1237.68316764,101.649063035,512.540494996,0.0,176.471037341,302.612436532,388.998695782,352.001292673,28.3233498048,8.67405330469
 10/23  07:00:00,1353.00599191,104.495207612,512.176014252,0.0,243.2593065,310.10971186,368.406176769,308.487122359,42.4850247072,17.4340297027
 10/23  08:00:00,1396.45272059,106.287009539,513.602225799,0.0,243.2593065,310.10971186,328.164210009,254.026654643,56.6466996096,17.4908557568
 10/23  09:00:00,1444.04806385,109.306274974,519.663536293,0.0,243.2593065,302.612436532,258.456750424,189.682467786,42.4850247072,26.2892579309
 10/23  10:00:00,1462.94765436,113.363536588,525.055023144,0.0,243.2593065,310.10971186,240.953495754,152.545643488,70.808374512,17.5994777546
 10/23  11:00:00,1467.20863692,115.902705798,525.708420531,0.0,243.2593065,310.10971186,247.551212062,141.519900626,70.808374512,35.2229369231
 10/23  12:00:00,1426.60803467,117.607599487,525.125682608,0.0,243.2593065,310.10971186,229.320946756,140.953636593,70.808374512,17.5589356505
 10/23  13:00:00,1461.72858751,120.101841256,524.443222459,0.0,243.2593065,302.612436532,216.946330844,133.876149943,56.6466996096,26.4234812918
 10/23  14:00:00,1464.19940292,123.709749865,523.346600093,0.0,243.2593065,302.612436532,188.271325544,119.396075254,42.4850247072,26.3902255832
 10/23  15:00:00,1470.8232494,131.088457187,522.663546892,0.0,243.2593065,302.612436532,170.782011703,87.7809876235,56.6466996096,26.3543244702
 10/23  16:00:00,1482.70736626,137.142046883,521.837198511,0.0,243.2593065,310.10971186,172.806631774,70.3199141691,84.9700494144,17.5166681903
 10/23  17:00:00,1487.26018379,141.876122656,521.659573437,0.0,243.2593065,310.10971186,162.94487989,60.5744653314,84.9700494144,17.4003651439
 10/23  18:00:00,1188.08418678,97.4868392162,524.731238996,0.0,166.938926447,199.110933808,183.660223325,89.9988138197,84.9700494144,8.69136009123
 10/23  19:00:00,1180.64699886,97.4891403819,519.742159159,0.0,166.938926447,191.61365848,192.71510269,127.377281411,56.6466996096,8.69112166877
 10/23  20:00:00,1035.24059484,97.4707753812,513.102165959,0.0,100.150657288,124.558693486,267.307078061,193.29860191,56.6466996096,17.3617765414
 10/23  21:00:00,997.893028654,97.4641852202,514.501917785,0.0,100.150657288,124.558693486,247.343889271,196.183067657,42.4850247072,8.67579690722
 10/23  22:00:00,931.426619715,97.4492278732,515.008958281,0.0,46.0930336215,124.558693486,249.811262871,212.813417228,28.3233498048,8.67449583901
